_id,numerocontrato,anocontrato,orgaocontratante,objetocontrato,origemcontrato,sequencialcompra,cnpjcontratado,cpfcontratado,razaonomecontratado,logradouroendcontratado,numeroendcontratado,complementoendcontratado,bairroendcontratado,cidadeendcontratado,estadoendcontratado,datainiciovigencia,datafimvigencia,valorcontrato1,valorcontrato2,situacaocontrato
405,2001.0329/2015,2016,SECRETARIA DE HABITAÇÃO,LOCAÇÃO DE VEÍCULOS TIPO HATCH AUTO PASSEIO FIAT UNO 1.0 - FLEX,SARP,6277,329696000102,,LOCADORA DE VEICULOS CAXANGA LTDA,TRAVESSA RIBEIRO ROMA,100,FUNDOS,ZUMBI,RECIFE,PE,2015-12-17T00:00:00,2016-12-16T00:00:00,41040.0,41040.0,CADASTRADO
406,3701.0012/2015,2016,SECRETARIA DE HABITAÇÃO,SERVIÇO DE REVESTIMENTO EM PISO CERÂMICO DO CONJUNTO HABITACIONAL COELHOS - TRAV. DO GUSMÃO.,LICITAÇÃO,5852,20198694000120,,FRANCK GONCALVES PEREIRA EIRELI,RUA JOSE BRAZ DE FRANCA,,"",CENTRO,QUEIMADAS,PB,2016-03-28T00:00:00,2016-06-26T00:00:00,246979.15,246979.15,ENCERRADO
407,3701.0120/2016,2016,SECRETARIA DE HABITAÇÃO,"SERVIÇO DE MUDANÇA, COMPREENDENDO O TRANSPORTE DOS BENS/MOBÍLIA, CARGA E DESCARGA POR M³, ATRAVÉS DE VEÍCULO DO TIPO CAMINHÃO BAÚ.",SARP,7151,8411349000128,,COMMODITY TRANSPORTES E SERVICOS LTDA,AVENIDA JOAQUIM RIBEIRO,200,GALPAO 1,CAXANGA,RECIFE,PE,2016-06-30T00:00:00,2017-06-29T00:00:00,159000.0,159000.0,CADASTRADO
408,1901.0093/2016,2016,SECRETARIA DE JUVENTUDE E QUALIFICAÇÃO PROFISSIONAL,"AQUISIÇÃO DE EVENTUAL COMPRA DE ÁGUA MINERAL EM GARRAFÕES PLÁSTICOS RETORNÁVEIS DE 19,5 A 20 LITROS AFIM DE ATENDER AS NECESSIDADES DE TODOS OS ORGÃOS E ENTIDADES DO PODER EXECUTIVO MUNICIPAL",SARP,6506,13185781000188,,HJ COMERCIO LTDA - ME,AVENIDA DOUTOR CLAUDIO JOSE GUEIROS LEITE,6768,LOJA 20,NOSSA SENHORA DO O,PAULISTA,PE,2016-03-01T00:00:00,2017-02-28T00:00:00,15504.0,15504.0,CADASTRADO
409,3901.0063/2015,2016,SECRETARIA DE MEIO AMBIENTE E SUSTENTABILIDADE,CONTRATAÇÃO DE EMPRESA TERCEIRIZADAS. MOTORISTAS,SARP,4438,1781573000162,,R P L ENGENHARIA E SERVICOS LTDA,RUA SAO CAETANO,359,CASA,CAMPO GRANDE,RECIFE,PE,2015-04-09T00:00:00,2016-04-08T00:00:00,406002.24,406002.24,CADASTRADO
410,3901.0090/2015,2016,SECRETARIA DE MEIO AMBIENTE E SUSTENTABILIDADE,"FORNECIMENTO DE PASSAGENS AEREAS NACIONAIS E INTERNACIONAIS, PARA ATENDER AS NECESSIDADES DA SECRETARIA DE MEIO AMBIENTE E SUSTENTABILIDADE.",INEXIGIBILIDADE,4718,9480880000115,,BRASLUSO TURISMO LTDA EPP,AVENIDA ENGENHEIRO DOMINGOS FERREIRA,1486,LOJA 05,BOA VIAGEM,RECIFE,PE,2015-04-06T00:00:00,2016-04-05T00:00:00,80000.0,80000.0,CADASTRADO
411,3901.0247/2015,2016,SECRETARIA DE MEIO AMBIENTE E SUSTENTABILIDADE,LOCAÇÃO DE  10 MAQUINAS MULTIFUNCIONAL,SARP,5487,5475214000138,,PERNAMBUCO DIGITAL LTDA,AVENIDA CRUZ CABUGA,706,PARTE,SANTO AMARO,RECIFE,PE,2015-10-01T00:00:00,2016-09-30T00:00:00,26400.0,26400.0,CADASTRADO
412,6901.0220/2015,2016,SECRETARIA DE MEIO AMBIENTE E SUSTENTABILIDADE,AQUISIÇÃO DE AR CONDICIONADOS,SARP,5197,66110404001118,,GLOBAL AR COMERCIO DE REFRIGERACAO LTDA,RUA VALDEMAR GALDINO NAZIAZENO,333,"GALPAO G,H",ERNESTO GEISEL,JOAO PESSOA,PB,2015-11-19T00:00:00,2016-11-18T00:00:00,67103.0,67103.0,ENCERRADO
413,6901.0240/2015,2016,SECRETARIA DE MEIO AMBIENTE E SUSTENTABILIDADE,CONTRATAÇÃO DE EMPRESA PRESTADORA DE SERVIÇOS DE ASSESSORIA CONTÁBIL.,LICITAÇÃO,5106,6001924000199,,AFCON AFONSO FERREIRA CONSULTORIA CONTABIL LTDA,RUA DA  AURORA,295,SALA 316,BOA VISTA,RECIFE,PE,2015-10-01T00:00:00,2016-09-30T00:00:00,27300.0,27300.0,CADASTRADO
414,6901.0299/2015,2016,SECRETARIA DE MEIO AMBIENTE E SUSTENTABILIDADE,SERVIÇOS GRÁFICOS PARA ATENDER AS NECESSIDADES DA SMAS.,SARP,6086,35603307000161,,CCS GRAFICA E EDITORA COMERCIO E SERVIÇOS LTDA - EPP,RUA IRATI,98,VILA DA INABI,JARDIM PRIMAVERA,CAMARAGIBE,PE,2015-12-10T00:00:00,2016-12-09T00:00:00,75950.0,75950.0,ENCERRADO
415,2701.0036/2015,2016,SECRETARIA DE PLANEJAMENTO E GESTÃO,CONTRATAÇÃO DE AGENTE DE INTEGRAÇÃO PARA OPERACIONALIZAÇÃO DO PROGRAMA DE ESTÁGIO DE ESTUDANTES NA SEPLAG.,SARP,4324,11000361000154,,INSTITUTO EUVALDO LODI NUCLEO REGIONAL DE PERNAMBUCO,AVENIDA CRUZ CABUGA,767,6º  ANDAR,SANTO AMARO,RECIFE,PE,2015-02-19T00:00:00,2016-02-18T00:00:00,10497.36,10497.36,ENCERRADO
416,3101.0051/2016,2016,SECRETARIA DE PLANEJAMENTO E GESTÃO,"LOCAÇÃO DE 01 VEÍCULO, HATCH 1.0",SARP,6060,329696000102,,LOCADORA DE VEICULOS CAXANGA LTDA,TRAVESSA RIBEIRO ROMA,100,FUNDOS,ZUMBI,RECIFE,PE,2016-04-28T00:00:00,2017-04-27T00:00:00,13680.0,13680.0,ENCERRADO
417,3101.0153/2016,2016,SECRETARIA DE PLANEJAMENTO E GESTÃO,SERVIÇO DE REPROGRAFIA,SARP,6685,41057324000143,,DATA VOICE COMERCIO E SERVICOS LTDA,AVENIDA CRUZ CABUGA,706,"",SANTO AMARO,RECIFE,PE,2016-05-31T00:00:00,2017-05-30T00:00:00,93600.0,93600.0,ENCERRADO
418,3101.0224/2014,2016,SECRETARIA DE PLANEJAMENTO E GESTÃO,"AQUISIÇÃO DE LICENÇAS DE SOFTWARE,SERVIÇOS DE  IMPLANTAÇÃO,SUPORTE TÉCNICO E ATUALIZAÇÃO DE VERSÃO,TREINAMENTO E SUPORTE ESPECIALIZADO,PARA ATENDER A SEPLAG.",SARP,2664,8689089000157,,TOCCATO TECNOLOGIA EM SISTEMAS LTDA.,RODOVIA JOSÉ CARLOS DAUX,5500,BLOCO B SALA 404,SACO GRANDE,FLORIANOPOLIS,SC,2014-06-10T00:00:00,2017-12-06T00:00:00,1235988.42,1235988.42,CADASTRADO
419,3101.0092/2016,2016,"SECRETARIA DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL",CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE MÃO DE OBRA DE ASCENSORISTAS,SARP,6722,9281162000110,,TOPPUS SERVICOS TERCEIRIZADOS EIRELI,RUA IGACI,20,GALPÃO TERREO,N. SENHORA DA CONCEIÇÃO,PAULISTA,PE,2016-04-01T00:00:00,2017-03-31T00:00:00,333995.04,333995.04,CADASTRADO
420,3101.0129/2016,2016,"SECRETARIA DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL",CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA GESTÃO DO AMBIENTE ELÉTRICO E COMUNICAÇÃO DO EDF. SEDE DA PREFEITURA DO RECIFE,LICITAÇÃO,6721,3538798000118,,"ALBUQUERQUE BRANDT INCORPORACOES, CONSTRUCOES E SERVICOS LTDA - ME",AVENIDA OLINDA DOM HELDER CAMARA,761,"",SANTA TEREZA,OLINDA,PE,2016-06-17T00:00:00,2017-06-16T00:00:00,731230.56,731230.56,CADASTRADO
421,3101.0150/2016,2016,"SECRETARIA DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL",AGENCIAMENTO E INTERMEDIAÇÃO DE ESTÁGIOS - NÍVEL MÉDIO.,SARP,7387,11000361000154,,INSTITUTO EUVALDO LODI NUCLEO REGIONAL DE PERNAMBUCO,AVENIDA CRUZ CABUGA,767,6º  ANDAR,SANTO AMARO,RECIFE,PE,2016-10-01T00:00:00,2017-09-30T00:00:00,184190.4,184190.4,ENCERRADO
422,3101.0151/2016,2016,"SECRETARIA DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL",AGENCIAMENTO E INTERMEDIÁRIO DE ESTÁGIOS - NÍVEL SUPERIOR.,SARP,7386,10998292000157,,CENTRO DE INTREGRACAO EMPRESA ESCOLA DE PERNAMBUCO CIEE/PE,RUA DO  PROGRESSO,465,7 ANDAR S/705,SOLEDADE,RECIFE,PE,2016-10-01T00:00:00,2017-09-30T00:00:00,103526.4,103526.4,ENCERRADO
423,3101.0185/2016,2016,"SECRETARIA DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL","CONTRATAÇÃO DE SERVIÇOS TERCEIRIZADOS (SECRETÁRIA(O). ADESÃO À ARP 12/2016, P.E 06/2016 P.L 06/2016 - CELCC, PERÍODO DE 01/08/2016 Á 31/07/2017. TOPSERVICE TERCEIRIZAÇÃO EIRELI.",SARP,7337,9281162000110,,TOPPUS SERVICOS TERCEIRIZADOS EIRELI,RUA IGACI,20,GALPÃO TERREO,N. SENHORA DA CONCEIÇÃO,PAULISTA,PE,2016-08-01T00:00:00,2017-07-31T00:00:00,240126.72,240126.72,ENCERRADO
424,3101.0275/2015,2016,"SECRETARIA DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL",CONTRATAÇÃO DE SERVIÇO DE GERENCIAMENTO DO ABASTECIMENTO DE COMBUSTÍVEL DA FROTA DE VEÍCULO DA SADGP,SARP,6078,8201104000176,,PETROCARD ADMINISTRADORA DE CREDITO LTDA,RUA SENADOR JOSE HENRIQUE,224,ED. ALF. NOBEL 2203,ILHA DO LEITE,RECIFE,PE,2016-01-01T00:00:00,2016-12-31T00:00:00,30000.0125,30000.0125,ENCERRADO
425,3101.0276/2015,2016,"SECRETARIA DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL","COMPRA CORPORATIVA DO SERVIÇO DE AGENCIAMENTO DE TRANSPORTE AÉREO, NACIONAL E INTERNACIONAL, PARA ATENDER AS NECESSIDADES DOS ÓRGÃOS DO PODER EXECUTIVO MUNICIPAL",SARP,6092,9480880000115,,BRASLUSO TURISMO LTDA EPP,AVENIDA ENGENHEIRO DOMINGOS FERREIRA,1486,LOJA 05,BOA VIAGEM,RECIFE,PE,2016-01-01T00:00:00,2016-12-31T00:00:00,35000.0,35000.0,ENCERRADO
426,3101.0280/2015,2016,"SECRETARIA DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL",CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇO CONTÍNUO DE LOCAÇÃO DE VEÍCULO,SARP,6024,329696000102,,LOCADORA DE VEICULOS CAXANGA LTDA,TRAVESSA RIBEIRO ROMA,100,FUNDOS,ZUMBI,RECIFE,PE,2015-11-01T00:00:00,2016-10-31T00:00:00,13680.0,13680.0,ENCERRADO
427,3101.0288/2015,2016,"SECRETARIA DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL","AQUISIÇÃO DE EVENTUAL DE ÁGUA MINERAL EM GARRAFÕES PLÁSTICOS RETORNÁVEIS DE 19,5 A 20 LITROS, A FIM DE ATENDER ÀS NECESSIDADES DE TODOS OS ÓRGÃOS E ENTIDADES INTEGRANTES DO PODER EXECUTIVO MUNICIPAL",SARP,6094,13185781000188,,HJ COMERCIO LTDA - ME,AVENIDA DOUTOR CLAUDIO JOSE GUEIROS LEITE,6768,LOJA 20,NOSSA SENHORA DO O,PAULISTA,PE,2016-01-01T00:00:00,2016-12-31T00:00:00,17000.0,17000.0,ENCERRADO
428,3101.0343/2015,2016,"SECRETARIA DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL",CONTRATAÇÃO DE EMPRESA DE PRESTAÇÃO DE SERVIÇO DE MANUTENÇÃO DA SUBESTAÇÃO DE ENERGIA ELÉTRICA DO EDIFÍCIO SEDE DA PREFEITURA,LICITAÇÃO,5499,3538798000118,,"ALBUQUERQUE BRANDT INCORPORACOES, CONSTRUCOES E SERVICOS LTDA - ME",AVENIDA OLINDA DOM HELDER CAMARA,761,"",SANTA TEREZA,OLINDA,PE,2015-12-29T00:00:00,2016-04-27T00:00:00,142625.65,142625.65,ENCERRADO
429,3101.9912/2016,2016,"SECRETARIA DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL","PRESTAÇÃO DE SERVIÇOS POSTAIS E VENDA DE PRODUTOS POSTAIS, VISANDO ATENDER ÀS NECESSIDADES DA SECRETARIA DE ADMINISTRAÇÃO E GESTÃO DE PESSOAS DA PREFEITURA DO RECIFE.",INEXIGIBILIDADE,7212,34028316002157,,EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,AVENIDA GUARARAPES,250,"",SANTO ANTONIO,RECIFE,PE,2016-07-01T00:00:00,2017-06-30T00:00:00,3999.98,3999.98,ENCERRADO
430,3401.0002/2016,2016,SECRETARIA DE POLÍTICA URBANA E LICENCIAMENTO,"SERVIÇO DE AGENCIAMENTO DE TRANSPORTE AÉREO, NACIONAL E INTERNACIONAL",SARP,7740,35636034000151,,DISTAK AGENCIA DE VIAGENS E TURISMO LTDA - EPP,RUA EPAMINONDAS GRACINDO,257,NULL,PAJUCARA,MACEIO,AL,2016-10-05T00:00:00,2017-10-04T00:00:00,20000.0,20000.0,ENCERRADO
431,3401.0090/2016,2016,SECRETARIA DE POLÍTICA URBANA E LICENCIAMENTO,LOCAÇÃO DE TRINTA (30) MÁQUINAS MULTIFUNCIONAIS PARA ATENDER AS NECESSIDADES DESTA SECRETARIA DE MOBILIDADE E CONTROLE URBANO,SARP,6649,41057324000143,,DATA VOICE COMERCIO E SERVICOS LTDA,AVENIDA CRUZ CABUGA,706,"",SANTO AMARO,RECIFE,PE,2016-04-25T00:00:00,2017-04-24T00:00:00,108192.0,108192.0,ENCERRADO
432,0000.0019/2016,2016,SECRETARIA DE SANEAMENTO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE VEÍCULOS, SEM MOTORISTA E SEM COMBUSTÍVEL.",SARP,6338,10965693000100,,CS BRASIL TRANSPORTES DE PASSAGEIROS E SERVIÇOS AMBIENTAIS LTDA,AVENIDA SARAIVA,400,SALA 04,VILA CINTRA,MOGI DAS CRUZES,SP,2016-03-10T00:00:00,2017-09-05T00:00:00,15382.656,15382.656,ENCERRADO
433,0000.0071/2016,2016,SECRETARIA DE SANEAMENTO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LOCAÇÃO DE VEÍCULOS.,SARP,6939,10965693000100,,CS BRASIL TRANSPORTES DE PASSAGEIROS E SERVIÇOS AMBIENTAIS LTDA,AVENIDA SARAIVA,400,SALA 04,VILA CINTRA,MOGI DAS CRUZES,SP,2016-06-01T00:00:00,2017-11-27T00:00:00,30765.24,30765.24,ENCERRADO
434,0000.0148/2016,2016,SECRETARIA DE SANEAMENTO,"FORNECIMENTO DE SOLUÇÃO DE IMPRESSÃO, COMPREENDENDO A CESSÃO DE DIREITO DE USO DE EQUIPAMENTO (IMPRESSORAS E MULTIFUNCIONAIS)",SARP,7356,40938508000150,,MAQ-LAREM MAQUINAS MOVEIS E EQUIPAMENTOS LTDA,AVENIDA PRESIDENTE EPITACIO PESSOA,2580,LOJA 01,CABO BRANCO,JOAO PESSOA,PB,2016-08-03T00:00:00,2017-08-02T00:00:00,21662.666,21662.666,ENCERRADO
435,2301.0014/2016,2016,SECRETARIA DE SANEAMENTO,EXECUÇÃO DO TRABALHO TÉCNICO SOCIAL NO ACOMPANHAMENTO ÀS OBRAS FÍSICAS E NA IMPLANTAÇÃO DE SERVIÇOS DE SANEAMENTO EM ÁREAS DE BAIXA RENDA DA BACIA DO BEBERIBE UES 3 4 8 17 19 20 21 22 E 24.,LICITAÇÃO,2050,1115194001377,,DIAGONAL EMPREENDIMENTOS E GESTAO DE NEGOCIOS LTDA,RUA DA  MOEDA,129,"",RECIFE,RECIFE,PE,2014-05-20T00:00:00,2017-06-01T00:00:00,9038807.0,9038807.0,ENCERRADO
436,3801.0285/2015,2016,SECRETARIA DE SEGURANÇA CIDADÃ,AQUISIÇÃO DE AGUA MINERAL,SARP,6044,13185781000188,,HJ COMERCIO LTDA - ME,AVENIDA DOUTOR CLAUDIO JOSE GUEIROS LEITE,6768,LOJA 20,NOSSA SENHORA DO O,PAULISTA,PE,2015-10-29T00:00:00,2016-10-28T00:00:00,34000.0,34000.0,ENCERRADO
437,3501.0002/2016,2016,SECRETARIA DE TURISMO E LAZER,"PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE EQUIPAMENTOS RECREATIVOS, CONFORME ESPECIFICAÇÕES CONTIDAS NO TERMO DE REFERÊNCIA, ANEXO AO EDITAL, PARA ATENDER AS NECESSIDADES DA SECRETARIA DE TURISMO E LAZER.",LICITAÇÃO,,12787027000155,,LEANDRO BARBOSA DA SILVA ME,RUA MANOEL AZEVEDO DE ANDRADE,193,"",MUSTARDINHA,RECIFE,PE,2016-11-01T00:00:00,2017-10-31T00:00:00,0.0,190000.0,CADASTRADO
438,5006.0025/2016,2016,URB RECIFE - AUTARQUIA DE URBANIZAÇÃO DO RECIFE,SERVICOS DE ENGENHARIA E ARQUITETURA PARA REALIZACAO DOS SERVICOS DE GERENCIAMENTO. FISCALIZACAO E ACOMPANHAMENTO DAS OBRAS DE URBANIZACAO DE ASSENTAMENTOS PRECARIOS NO AMBITO DO PROJETO CAPIBARIBE MELHOR. NA CIDADE DO RECIFEPE.,LICITAÇÃO,6298,11380698000134,,ENGECONSULT CONSULTORES TECNICOS LTDA,RUA ALMIRANTE NORONHA DE CARVALHO,45,"",ROSARINHO,RECIFE,PE,2016-09-12T00:00:00,2018-12-11T00:00:00,,4460281.92,CADASTRADO
439,6101.0002/2017,2017,AUTARQUIA MUNICIPAL DE PREVIDÊNCIA E ASSISTÊNCIA À SAÚDE DOS SERVIDORES - RECIPREV,SERVICO DE GUARDA VOLUMES,SARP,15602,2668797000125,,"BRASIL GESTAO DE DADOS, INFORMACOES E DOCUMENTOS LTDA",RUA DOUTOR JOSE CORREIA XAVIER GAIAO,68,ANEXO,BOMBA DO HEMETERIO,RECIFE,PE,2017-06-29T00:00:00,2018-06-28T00:00:00,,56991.6,CADASTRADO
440,0000.0225/2016,2017,COMDICA - CONSELHO MUNICIPAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE,CONTRATAÇÃO DOS SERVIÇOS TERCEIRIZADOS DE SERVENTE DE LIMPEZA E APOIO TÉCNICO ADMINISTRATIVO II.,SARP,6522,1781573000162,,R P L ENGENHARIA E SERVICOS LTDA,RUA SAO CAETANO,359,CASA,CAMPO GRANDE,RECIFE,PE,2016-07-01T00:00:00,2017-06-30T00:00:00,335581.8,335581.8,CADASTRADO
441,2401.0001/2017,2017,CONTROLADORIA GERAL DO MUNICÍPIO,ABASTECIMENTO DE COMBUSTÍVEIS DA FROTA DE VEÍCULOS,SARP,8291,604122000197,,TRIVALE INSTITUIÇÃO DE PAGAMENTO LTDA,AVENIDA JACARANDA,200,"",JARAGUA,UBERLANDIA,MG,2017-04-01T00:00:00,2018-03-31T00:00:00,10359.63,10359.63,CADASTRADO
442,5010.1001/2017,2017,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"SERVIÇOS DE IMPLANTAÇÃO DE SISTEMA DE FISCALIZAÇÃO DE SERVIÇOS, OBRAS DE MANUTENÇÃO E LIMPEZA URBANA",LICITAÇÃO,8248,15525341000158,,ROADMAPS SOLUCOES EM TECNOLOGIA DA INFORRMACAO LTDA - ME,RUA DO  BOM JESUS,180,NULL,RECIFE,RECIFE,PE,2017-03-29T00:00:00,2017-12-24T00:00:00,73000.0,73000.0,ENCERRADO
443,5010.1002/2017,2017,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"SERVIÇOS DE REQUALIFICAÇÃO DE DRENAGEM DA COMUNIDADE PADRE VILLEIMAIN, CONFORME TERMO DE REFERENCIA ANEXO.",LICITAÇÃO,8228,10811370000162,,GUERRA CONSTRUCOES LTDA,RUA PROFESSOR SILVIO RABELO,550,"",CANDEIAS,JABOATAO DOS GUARARAPES,PE,2017-03-20T00:00:00,2017-11-15T00:00:00,139557.88,139557.88,ENCERRADO
444,5010.1003/2017,2017,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"SERVIÇOS ESPECIALIZADOS DE CONFECÇÃO DE BUSTOS DE ARTHUR L. CAVALCANTI - RUA DA AURORA, E DO PADRE
ANTÔNIO HENRIQUE PEREIRA NETO - PRAÇA PARNAMIRIM",LICITAÇÃO,8250,10811370000162,,GUERRA CONSTRUCOES LTDA,RUA PROFESSOR SILVIO RABELO,550,"",CANDEIAS,JABOATAO DOS GUARARAPES,PE,2017-03-30T00:00:00,2017-10-26T00:00:00,41867.73,41867.73,ENCERRADO
445,5010.1005/2017,2017,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"CONTRATAÇÃO DE EMPRESA DE ENGENHARIA CIVIL PARA A EXECUÇÃO DE 200 METROS LINEAR DE MURO PERIMETRAL NA DIRETORIA DE LIMPEZA URBNA, CONFORME PROJETO BÁSICO ANEXO.",LICITAÇÃO,8447,16100678000186,,PROLUCMAR PROJETOS E SERVICOS DE CONSTRUCAO E OBRAS LTDA - ME,RUA CARLOS GOMES,704,ANEXO A,MADALENA,RECIFE,PE,2017-05-29T00:00:00,2017-07-30T00:00:00,99425.76,99425.76,ENCERRADO
446,5010.1006/2017,2017,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,IMPLANTAÇÃO DE QUADRA POLIESPORTIVA NO SEGUNDO REFÚGIO DA AV. AGAMENON MAGALHÃES,LICITAÇÃO,8580,7086088000155,,SOLO CONSTRUCOES E TERRAPLANAGEM LTDA,AVENIDA ENGENHEIRO DOMINGOS FERREIRA,4371,SALA 405,BOA VIAGEM,RECIFE,PE,2017-05-22T00:00:00,2017-08-20T00:00:00,130376.16,130376.16,ENCERRADO
447,5010.1007/2016,2017,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"RECUPERAÇÃO, AMPLIAÇÃO E REFORMA DAS GAIOLAS DO MINI ZOOLOGICO DO PARQUE TREZE DE MAIO,CONFORME PROJETO BÁSICO ANEXO.",LICITAÇÃO,7675,5473496000134,,VIZIR ENGENHARIA LTDA - EPP,RUA SIQUEIRA CAMPOS,521,1 ANDAR,CENTRO,PAULISTA,PE,2017-02-21T00:00:00,2017-12-18T00:00:00,143355.76,143355.76,ENCERRADO
448,5010.1008/2017,2017,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,SERVIÇOS ESPECIALIZADOS DE REFORMA DAS EDIFICAÇÕES DA DIRETORIA LIMPEZA URBANA.,LICITAÇÃO,8737,3330089000142,,CABANA CONSTRUCOES LTDA EPP,RUA MANUEL DE BARROS LIMA,192,"",CAMPO GRANDE,RECIFE,PE,2017-08-04T00:00:00,2017-10-05T00:00:00,100310.64,100310.64,ENCERRADO
449,5010.1009/2015,2017,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"ELABORAÇÃO DE PROJETO EXECUTIVO PARA IMPLEMENTAÇÃO DE NOVA ESTRUTURA DE TRATAMENTO VEGETAL DE EFLUENTE NA LAGOA DA BOA IDÉIA, CONFORME ESPECIFICAÇÕES DO TERMO DE REFERÊNCIA ANEXO AO EDITAL.",LICITAÇÃO,4990,70073275000130,,GEOSISTEMAS ENGENHARIA E PLANEJAMENTO LTDA,RUA RICARDO SALAZAR,83,"",PRADO,RECIFE,PE,2016-08-06T00:00:00,2017-09-30T00:00:00,140000.04,140000.04,CADASTRADO
450,5010.1009/2017,2017,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,SERVIÇOS ESPECIALIZADO NA REQUALIFICAÇÃO DA REDE DE DRENAGEM DA COMUNIDADE REDENÇÃO  CAMPINA DO BARRETO  RECIFEPE.,LICITAÇÃO,9217,10811370000162,,GUERRA CONSTRUCOES LTDA,RUA PROFESSOR SILVIO RABELO,550,"",CANDEIAS,JABOATAO DOS GUARARAPES,PE,2017-08-29T00:00:00,2017-10-30T00:00:00,143334.39,143334.39,ENCERRADO
451,5010.1010/2017,2017,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,SERVIÇOS ESPECIALIZADOS DE INSTALAÇÃO COM FORNECIMENTO DE SUBESTAÇÃO AÉREA 150 KVA E QGBT PARA O PÁTIO DA FEIRA DO CAIS DE SANTA RITA,LICITAÇÃO,9051,1372302000153,,SIRIUS CONSTRUCOES COMERCIO E REPRESENTACOS LTDA EPP,RUA SIQUEIRA CAMPOS,533,"",CENTRO,PAULISTA,PE,2017-09-10T00:00:00,2017-10-12T00:00:00,61194.1,61194.1,ENCERRADO
452,5010.1011/2017,2017,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,SERVIÇOS ESPECIALIZADOS NA RECUPERAÇÃO DO PRÉDIO DO CEMITÉRIO PARQUE DAS FLORES.,LICITAÇÃO,9124,5625079000160,,CONSTRUTORA MARDIFI - EPP,RUA IRENE RAMOS GOMES DE MATTOS,97,CX. POSTAL 1114,PINA,RECIFE,PE,2017-09-12T00:00:00,2017-10-14T00:00:00,69842.07,69842.07,ENCERRADO
453,5010.1012/2017,2017,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,SERVIÇOS ESPECIALIZADOS PARA DEMOLIÇÃO DE IMÓVEL EM SITUAÇÃO DE RISCO LOCALIZADO NA RUA DA GLORIA 187  BOA VISTA CONFORME PROJETO BÁSICO ANEXO.,LICITAÇÃO,9063,69936730000103,,CONLURB - CONSTRUCOES E LIMPEZA URBANA LTDA,RUA JOAO IVO DA SILVA,312,"",MADALENA,RECIFE,PE,2017-10-30T00:00:00,2017-11-29T00:00:00,36398.45,36398.45,ENCERRADO
454,5010.1021/2013,2017,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"RECUPERAÇÃO DO ALAMBRADO NO PARQUE DONA LINDÚ, LOCALIZADO NA AV. BOA VIAGEM - RECIFE, CONFORME ESPECIFICAÇÕES DO PROJETO BÁSICO ANEXO AO EDITAL.",LICITAÇÃO,1499,7086088000155,,SOLO CONSTRUCOES E TERRAPLANAGEM LTDA,AVENIDA ENGENHEIRO DOMINGOS FERREIRA,4371,SALA 405,BOA VIAGEM,RECIFE,PE,2013-12-13T00:00:00,2014-01-12T00:00:00,133208.4,133208.4,ENCERRADO
